Area,Bedrooms,Bathrooms,Floors,Age,Parking,Price
3674,4,3.0,2,22,0,7769000
1360,2,2.0,1,18,0,3362000
1794,3,2.0,3,11,2,4483000
1630,4,3.0,1,17,2,4446000
1595,5,3.0,3,5,1,4663000
3592,1,2.0,2,17,2,7213000
2138,5,2.0,3,18,1,5451000
2669,4,1.0,3,21,1,6102000
966,4,2.0,1,4,1,2543000
1738,4,2.0,1,23,2,4434000
830,5,3.0,3,8,0,2979000
1982,4,2.0,1,26,1,4545000
2635,5,1.0,2,2,0,5917000
3944,4,2.0,2,27,0,8204000
3671,3,3.0,1,9,2,7885000
3419,4,3.0,2,18,0,7219000
630,5,2.0,1,2,0,2482000
2185,2,3.0,3,28,2,5140000
3880,4,1.0,3,28,1,8423000
1269,2,1.0,2,21,0,2878000
2891,3,2.0,1,14,2,6231000
2015,1,2.0,1,0,0,4396000
3985,3,2.0,2,6,0,8425000
3353,4,3.0,3,11,1,7435000
2933,2,1.0,2,16,0,6239000
1715,2,1.0,3,29,2,3711000
1455,5,3.0,1,20,0,3761000
2824,2,1.0,3,25,1,6010000
1684,5,2.0,2,28,1,4150000
959,1,2.0,1,23,2,2285000
3885,4,2.0,2,19,1,8139000
521,5,1.0,2,4,0,2344000
2800,1,2.0,3,3,1,5691000
1247,2,3.0,2,27,2,3315000
3404,2,3.0,3,11,1,7427000
974,1,1.0,1,29,1,2269000
1582,2,3.0,3,19,1,3897000
3058,1,3.0,1,27,2,6380000
2547,5,1.0,3,23,1,5891000
3247,5,2.0,2,17,1,7438000
1475,1,2.0,3,16,0,3298000
2306,5,2.0,3,18,2,5663000
689,5,1.0,1,8,1,2521000
3505,5,3.0,2,3,2,7867000
3234,3,2.0,3,25,1,6516000
3505,4,2.0,2,20,1,7505000
1062,2,1.0,3,1,1,3042000
2399,3,2.0,3,3,0,5610000
1767,5,1.0,2,1,0,4539000
3379,1,3.0,3,14,0,6838000
2028,5,1.0,2,1,2,5135000
3702,4,1.0,3,3,2,7923000
1146,5,1.0,1,5,0,3321000
2568,1,1.0,2,6,2,5441000
3388,4,3.0,3,9,1,7407000
2714,5,3.0,3,18,1,6311000
1797,4,2.0,1,18,1,4438000
2935,2,3.0,2,25,0,6185000
1100,2,3.0,3,21,2,3009000
2863,5,,1,28,0,6205000
2561,4,3.0,3,11,2,6069000
741,1,1.0,2,2,1,2329000
2541,5,1.0,3,12,0,5825000
3324,2,2.0,3,17,2,7056000
3917,2,2.0,3,7,2,8191000
3112,5,2.0,3,20,1,6882000
3445,4,1.0,1,14,0,6947000
1863,2,3.0,1,0,0,4179000
2639,4,1.0,2,2,0,5937000
1890,2,2.0,1,25,1,4230000
3503,2,3.0,1,7,0,7356000
1978,3,3.0,2,3,1,4830000
3999,2,1.0,1,15,1,7947000
3056,1,2.0,1,29,1,6055000
1275,5,1.0,2,22,2,3748000
534,5,3.0,2,9,0,2288000
2753,4,1.0,2,11,0,5894000
3652,2,1.0,3,13,1,7594000
2455,1,2.0,3,13,1,5104000
2085,4,2.0,2,1,0,5370000
3959,3,3.0,2,22,1,8298000
